file_name,row_label,label,native_value,migrant_value
FR_20260525_Alex_FR_Neu.xlsx,dt,deaths,0.0022061126425460017,0.001364609851968583
FR_20260525_Alex_FR_Neu.xlsx,mt,migrations,-0.05965845378954585,0.7794757393719326
FR_20260525_Alex_FR_Neu.xlsx,l,life expectancy,42.92353318613832,40.69657178248737
NL_20260525_Matthias_NL.xlsx,pt,populations,83.2318140512647,16.76818594873529
NL_20260525_Matthias_NL.xlsx,bt,births,6061.44961201075,21347.092645521803
NL_20260525_Matthias_NL.xlsx,f,fertility (official),0.693009529100593,0.6927603088549367
NL_20260525_Matthias_NL.xlsx,dt,deaths,0.9901298579245447,0.7754888379617235
NL_20260525_Matthias_NL.xlsx,mt,migrations,-0.029727591627613972,3.702390489864018
NL_20260525_Matthias_NL.xlsx,l,life expectancy,82.09976779106084,82.14146618121822
NL_20260526_V1.1_Claude.xlsx,pt,populations,71.50150509016906,28.498494909830942
NL_20260526_V1.1_Claude.xlsx,bt,births,16523.829741934205,22789.163515497446
NL_20260526_V1.1_Claude.xlsx,f,fertility (official),1.472,1.355
NL_20260526_V1.1_Claude.xlsx,dt,deaths,1.1150005457404955,0.5154292293748566
NL_20260526_V1.1_Claude.xlsx,mt,migrations,-0.09137819940365448,2.2789611672767305
NL_20260526_V1.1_Claude.xlsx,l,life expectancy,81.90275916471936,81.91602467743127
