file_name,row_label,label,native_value
Matthias_DE_v4_Claude_befuellt.xlsx,pt,populations,69.00998840089555
Matthias_DE_v4_Claude_befuellt.xlsx,bt,births,15193.014832136425
Matthias_DE_v4_Claude_befuellt.xlsx,fc,fertility (calculated),1.0
Matthias_DE_v4_Claude_befuellt.xlsx,dt,deaths,1.4970756932589064
Matthias_DE_v4_Claude_befuellt.xlsx,mt,migrations,0.1499204807164697
Matthias_DE_v4_Claude_befuellt.xlsx,et,emigrations,0.2349289943980031
Matthias_DE_v4_Claude_befuellt.xlsx,l,life expectancy,80.0
Matthias_DE_v5_Claude_DE_befuellt_neue_vorlage.xlsx,pt,populations,69.00998840089555
Matthias_DE_v5_Claude_DE_befuellt_neue_vorlage.xlsx,f,fertility (official),1.0
Matthias_DE_v5_Claude_DE_befuellt_neue_vorlage.xlsx,fc,fertility (calculated),1.0
Matthias_DE_v5_Claude_DE_befuellt_neue_vorlage.xlsx,dt,deaths,1.4970756932589064
Matthias_DE_v5_Claude_DE_befuellt_neue_vorlage.xlsx,mt,migrations,0.1499204807164697
Matthias_DE_v5_Claude_DE_befuellt_neue_vorlage.xlsx,et,emigrations,0.2349289943980031
Matthias_DE_v5_Claude_DE_befuellt_neue_vorlage.xlsx,l,life expectancy,80.0
Matthias_DK.xlsx,pt,populations,83.22099879464346
Matthias_DK.xlsx,bt,births,18250.953885714443
Matthias_DK.xlsx,fc,fertility (calculated),1.0
Matthias_DK.xlsx,dt,deaths,1.0827654710765655
Matthias_DK.xlsx,mt,migrations,0.37618402546022417
Matthias_DK.xlsx,et,emigrations,0.2695347374957798
Matthias_DK.xlsx,l,life expectancy,82.0
Matthias_NL.xlsx,pt,populations,83.23181866397222
Matthias_NL.xlsx,bt,births,14936.986710069606
Matthias_NL.xlsx,f,fertility (official),1.0
Matthias_NL.xlsx,fc,fertility (calculated),1.0
Matthias_NL.xlsx,dt,deaths,0.9901273580203872
Matthias_NL.xlsx,mt,migrations,0.28272706806883385
Matthias_NL.xlsx,et,emigrations,0.3124506645893886
Matthias_NL.xlsx,l,life expectancy,82.0
Matthias_NO.xlsx,pt,populations,78.22017272630345
Matthias_NO.xlsx,fc,fertility (calculated),1.0
Matthias_NO.xlsx,dt,deaths,0.9077274055253328
Matthias_NO.xlsx,mt,migrations,0.1553695997193851
Matthias_NO.xlsx,et,emigrations,0.19137790730166693
Matthias_NO.xlsx,l,life expectancy,83.0
Matthias_SE.xlsx,pt,populations,72.30786899268837
Matthias_SE.xlsx,fc,fertility (calculated),1.0
Matthias_SE.xlsx,dt,deaths,1.0240372967084497
Matthias_SE.xlsx,mt,migrations,0.2350082791452907
Matthias_SE.xlsx,et,emigrations,0.34660526354909704
Matthias_SE.xlsx,l,life expectancy,84.0
